time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 09:00:00,313.1,316.52,313.1,315.66,26,1,28
2022-06-01 09:15:00,315.76,315.96,313.2,313.2,59,1,91
2022-06-01 09:30:00,313.05,313.25,311.99,312.49,27,1,41
2022-06-01 10:00:00,313.3,313.95,313.1,313.95,23,1,30
2022-06-01 10:30:00,313.5,313.5,313.25,313.25,3,1,4
2022-06-01 10:45:00,313.25,313.25,312.49,312.99,17,1,38
2022-06-01 11:15:00,312.99,312.99,312.59,312.59,3,1,9
2022-06-01 11:30:00,312.84,312.99,312.84,312.99,6,1,10
2022-06-01 12:00:00,312.99,312.99,312.64,312.99,3,1,3
2022-06-01 12:15:00,313.05,313.1,312.99,312.99,3,1,3
2022-06-01 12:30:00,312.99,312.99,312.99,312.99,1,1,2
2022-06-01 12:45:00,312.99,312.99,312.99,312.99,1,1,3
2022-06-01 13:15:00,312.99,312.99,312.99,312.99,5,1,8
2022-06-01 13:30:00,312.99,312.99,312.99,312.99,1,1,1
2022-06-01 13:45:00,313.1,313.2,312.89,313.2,14,1,25
2022-06-01 14:00:00,313.2,313.25,312.99,313.25,6,1,11
2022-06-01 14:15:00,313.3,313.3,313.25,313.25,4,1,4
2022-06-01 14:30:00,313.9,313.95,313.9,313.95,3,1,8
2022-06-01 15:00:00,313.5,314.0,313.5,314.0,2,1,4
2022-06-01 15:45:00,313.95,314.0,313.95,314.0,9,1,15
2022-06-01 16:00:00,314.0,314.0,313.65,314.0,39,1,47
2022-06-01 16:15:00,314.0,314.3,311.99,312.49,103,1,219
2022-06-02 09:00:00,313.94,314.62,313.07,313.75,44,1,14
2022-06-02 09:15:00,313.17,313.17,312.73,312.73,4,1,4
2022-06-02 09:45:00,313.41,313.41,312.78,312.78,5,1,5
2022-06-02 10:00:00,312.83,313.99,312.83,313.56,9,1,9
2022-06-02 10:15:00,313.89,313.94,313.89,313.94,2,1,2
2022-06-02 10:30:00,314.33,314.38,314.33,314.38,2,1,2
2022-06-02 10:45:00,314.38,314.43,314.38,314.43,3,1,3
2022-06-02 11:15:00,314.38,314.38,314.04,314.04,3,1,11
2022-06-02 11:30:00,314.43,314.86,314.43,314.86,4,1,10
2022-06-02 11:45:00,314.91,314.91,314.91,314.91,2,1,2
2022-06-02 12:00:00,314.57,314.91,314.43,314.43,9,1,12
2022-06-02 12:30:00,314.72,314.91,314.72,314.91,6,1,32
2022-06-02 12:45:00,315.35,315.83,314.48,315.01,10,1,30
2022-06-02 13:00:00,315.01,315.01,314.91,314.91,2,1,4
2022-06-02 13:15:00,314.91,315.78,314.91,315.39,16,1,48
2022-06-02 13:30:00,315.39,315.39,315.39,315.39,3,1,5
2022-06-02 13:45:00,315.73,317.23,315.73,316.94,27,1,32
2022-06-02 14:00:00,316.94,317.28,316.41,316.85,16,1,20
2022-06-02 14:15:00,316.65,316.65,316.65,316.65,2,1,3
2022-06-02 14:30:00,316.85,316.99,316.41,316.99,5,1,8
2022-06-02 14:45:00,317.09,317.14,316.85,317.14,6,1,9
2022-06-02 15:00:00,317.14,318.59,317.14,318.05,50,1,70
