time,open,high,low,close,tick_volume,spread,real_volume
2023-02-10 13:15:00,9.1,9.1,9.1,9.1,1,1,9
2023-02-10 14:30:00,9.1,9.1,9.1,9.1,1,1,45
2023-02-10 14:45:00,9.1,9.1,9.1,9.1,1,1,90
2023-02-10 16:15:00,9.1,9.1,9.1,9.1,4,1,3429
2023-02-10 16:30:00,9.1,9.1,9.1,9.1,1,1,1350
2023-02-13 10:00:00,9.1,9.1,9.1,9.1,2,1,4500
2023-02-13 10:30:00,9.1,9.1,9.1,9.1,7,1,4590
2023-02-13 12:15:00,9.1,9.1,9.1,9.1,4,1,810
2023-02-13 13:45:00,9.1,9.1,9.1,9.1,4,1,864
2023-02-15 11:00:00,9.1,9.1,9.1,9.1,1,1,270
2023-02-15 11:15:00,9.1,9.1,9.1,9.1,1,1,450
2023-02-15 11:30:00,9.1,9.1,9.1,9.1,1,1,180
2023-02-15 12:45:00,9.1,9.1,8.56,8.56,3,1,4284
2023-02-16 11:15:00,9.1,9.1,9.1,9.1,1,1,108
2023-02-16 12:30:00,9.1,9.1,9.1,9.1,1,1,81
2023-02-17 17:00:00,8.92,8.92,8.65,8.65,2,1,450
2023-02-17 17:15:00,9.1,9.1,9.1,9.1,2,1,18
2023-02-22 13:00:00,9.1,9.1,9.1,9.1,1,1,45
2023-02-22 13:30:00,9.1,9.1,9.1,9.1,2,1,459
2023-02-22 13:45:00,9.1,9.1,9.1,9.1,2,1,18
2023-02-22 17:15:00,9.1,9.1,9.1,9.1,1,1,18
2023-02-23 11:00:00,9.1,9.1,9.1,9.1,1,1,90
2023-02-23 12:15:00,9.1,9.1,9.1,9.1,1,1,450
2023-02-23 12:45:00,9.1,9.1,9.1,9.1,1,1,225
2023-02-23 14:00:00,9.1,9.1,9.1,9.1,1,1,18
2023-02-23 16:15:00,9.1,9.1,9.1,9.1,1,1,90
2023-02-24 14:00:00,9.1,9.1,9.1,9.1,1,1,225
2023-02-24 14:15:00,9.1,9.1,9.1,9.1,1,1,315
2023-02-27 11:30:00,9.1,9.1,9.1,9.1,1,1,18
2023-02-27 12:15:00,9.1,9.1,9.1,9.1,1,1,225
2023-02-27 14:30:00,9.1,9.1,9.1,9.1,1,1,9
2023-02-27 15:15:00,9.1,9.1,9.1,9.1,1,1,9
2023-02-28 14:15:00,8.65,9.1,8.65,9.1,2,1,1026
2023-02-28 14:30:00,9.1,9.1,9.1,9.1,1,1,63
2023-02-28 16:15:00,9.1,9.1,9.1,9.1,1,1,450
2023-03-01 14:30:00,9.22,9.22,9.22,9.22,1,1,90
2023-03-01 15:00:00,9.22,9.22,9.22,9.22,1,1,90
2023-03-01 15:30:00,9.21,9.21,9.21,9.21,1,1,72
2023-03-01 16:30:00,9.21,9.21,9.21,9.21,1,1,18
2023-03-01 17:00:00,9.21,9.21,9.21,9.21,1,1,18
2023-03-03 10:00:00,9.22,9.22,9.22,9.22,1,1,63
2023-03-03 10:15:00,9.22,9.22,9.22,9.22,1,1,18
2023-03-03 13:00:00,9.09,9.09,9.09,9.09,1,1,9783
2023-03-03 14:15:00,9.09,9.09,9.09,9.09,2,1,180
2023-03-03 14:45:00,9.09,9.09,9.09,9.09,1,1,90
2023-03-03 17:00:00,9.09,9.09,9.09,9.09,1,1,630
2023-03-03 17:30:00,9.09,9.09,9.09,9.09,3,1,468
2023-03-06 15:00:00,8.99,8.99,8.98,8.98,3,1,657
2023-03-06 17:45:00,9.22,9.22,9.22,9.22,1,1,9
2023-03-07 10:30:00,9.22,9.22,9.22,9.22,1,1,45
2023-03-07 12:45:00,9.14,9.14,9.14,9.14,1,1,900
2023-03-07 13:45:00,9.14,9.14,9.14,9.14,1,1,45
2023-03-07 14:00:00,9.14,9.14,9.14,9.14,1,1,90
2023-03-08 12:30:00,9.21,9.21,9.21,9.21,1,1,54
2023-03-08 15:15:00,9.21,9.21,9.21,9.21,2,1,891
2023-03-09 10:45:00,9.21,9.21,9.21,9.21,3,1,2853
2023-03-09 11:00:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-09 14:30:00,9.21,9.21,9.21,9.21,2,1,666
2023-03-09 14:45:00,9.21,9.21,9.21,9.21,1,1,36
2023-03-09 15:00:00,9.21,9.21,9.21,9.21,2,1,558
2023-03-09 16:30:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-10 13:45:00,9.21,9.21,9.21,9.21,1,1,189
2023-03-10 16:15:00,9.21,9.21,9.21,9.21,1,1,18
2023-03-10 17:00:00,9.21,9.21,9.21,9.21,1,1,18
2023-03-13 10:00:00,9.21,9.21,9.21,9.21,2,1,2970
2023-03-13 12:15:00,9.21,9.21,9.21,9.21,1,1,90
2023-03-13 13:30:00,9.21,9.21,9.14,9.14,2,1,279
2023-03-13 16:00:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-13 16:15:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-13 16:45:00,9.14,9.21,9.05,9.21,5,1,783
2023-03-14 11:15:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-14 11:30:00,9.21,9.21,9.21,9.21,2,1,864
2023-03-14 11:45:00,9.21,9.21,9.21,9.21,2,1,486
2023-03-14 12:45:00,9.05,9.05,9.05,9.05,1,1,270
2023-03-14 13:00:00,9.21,9.21,9.21,9.21,6,1,3240
2023-03-14 13:15:00,9.01,9.01,8.98,8.98,11,1,3267
2023-03-14 13:30:00,8.86,8.86,8.77,8.77,6,1,3258
2023-03-14 14:15:00,8.82,8.82,8.81,8.81,4,1,3510
2023-03-14 16:45:00,9.18,9.18,9.18,9.18,3,1,360
2023-03-15 12:45:00,9.18,9.18,9.18,9.18,1,1,9
2023-03-15 15:30:00,9.18,9.21,9.18,9.21,3,1,99
2023-03-16 10:00:00,9.21,9.21,9.21,9.21,1,1,9
2023-03-16 13:45:00,9.2,9.2,9.2,9.2,1,1,9
2023-03-16 14:15:00,9.2,9.2,9.2,9.2,1,1,9
2023-03-17 10:00:00,9.2,9.2,9.2,9.2,1,1,9
2023-03-17 11:15:00,9.2,9.2,9.2,9.2,1,1,18
2023-03-17 12:45:00,9.2,9.2,9.2,9.2,1,1,18
