time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 09:00:00,319.66,323.15,319.66,322.28,26,1,28
2022-06-01 09:15:00,322.38,322.59,319.76,319.76,59,1,91
2022-06-01 09:30:00,319.61,319.81,318.53,319.04,27,1,41
2022-06-01 10:00:00,319.86,320.53,319.66,320.53,23,1,30
2022-06-01 10:30:00,320.07,320.07,319.81,319.81,3,1,4
2022-06-01 10:45:00,319.81,319.81,319.04,319.56,17,1,38
2022-06-01 11:15:00,319.56,319.56,319.14,319.14,3,1,9
2022-06-01 11:30:00,319.4,319.56,319.4,319.56,6,1,10
2022-06-01 12:00:00,319.56,319.56,319.2,319.56,3,1,3
2022-06-01 12:15:00,319.61,319.66,319.56,319.56,3,1,3
2022-06-01 12:30:00,319.56,319.56,319.56,319.56,1,1,2
2022-06-01 12:45:00,319.56,319.56,319.56,319.56,1,1,3
2022-06-01 13:15:00,319.56,319.56,319.56,319.56,5,1,8
2022-06-01 13:30:00,319.56,319.56,319.56,319.56,1,1,1
2022-06-01 13:45:00,319.66,319.76,319.45,319.76,14,1,25
2022-06-01 14:00:00,319.76,319.81,319.56,319.81,6,1,11
2022-06-01 14:15:00,319.86,319.86,319.81,319.81,4,1,4
2022-06-01 14:30:00,320.48,320.53,320.48,320.53,3,1,8
2022-06-01 15:00:00,320.07,320.58,320.07,320.58,2,1,4
2022-06-01 15:45:00,320.53,320.58,320.53,320.58,9,1,15
2022-06-01 16:00:00,320.58,320.58,320.22,320.58,39,1,47
2022-06-01 16:15:00,320.58,320.89,318.53,319.04,103,1,219
2022-06-02 09:00:00,320.52,321.21,319.63,320.33,44,1,14
2022-06-02 09:15:00,319.73,319.73,319.29,319.29,4,1,4
2022-06-02 09:45:00,319.98,319.98,319.34,319.34,5,1,5
2022-06-02 10:00:00,319.39,320.57,319.39,320.13,9,1,9
2022-06-02 10:15:00,320.47,320.52,320.47,320.52,2,1,2
2022-06-02 10:30:00,320.92,320.97,320.92,320.97,2,1,2
2022-06-02 10:45:00,320.97,321.02,320.97,321.02,3,1,3
2022-06-02 11:15:00,320.97,320.97,320.62,320.62,3,1,11
2022-06-02 11:30:00,321.02,321.46,321.02,321.46,4,1,10
2022-06-02 11:45:00,321.51,321.51,321.51,321.51,2,1,2
2022-06-02 12:00:00,321.17,321.51,321.02,321.02,9,1,12
2022-06-02 12:30:00,321.31,321.51,321.31,321.51,6,1,32
2022-06-02 12:45:00,321.96,322.45,321.07,321.61,10,1,30
2022-06-02 13:00:00,321.61,321.61,321.51,321.51,2,1,4
2022-06-02 13:15:00,321.51,322.4,321.51,322.0,16,1,48
2022-06-02 13:30:00,322.0,322.0,322.0,322.0,3,1,5
2022-06-02 13:45:00,322.35,323.88,322.35,323.59,27,1,32
2022-06-02 14:00:00,323.59,323.93,323.04,323.49,16,1,20
2022-06-02 14:15:00,323.29,323.29,323.29,323.29,2,1,3
2022-06-02 14:30:00,323.49,323.63,323.04,323.63,5,1,8
2022-06-02 14:45:00,323.73,323.78,323.49,323.78,6,1,9
2022-06-02 15:00:00,323.78,325.26,323.78,324.72,50,1,70
2022-06-02 15:15:00,324.28,324.67,323.98,324.08,14,1,25
2022-06-02 15:30:00,324.03,324.03,323.98,323.98,8,1,14
2022-06-02 15:45:00,323.98,324.47,323.98,323.98,9,1,9
2022-06-02 16:00:00,323.73,323.73,323.19,323.49,15,1,22
2022-06-02 16:15:00,323.68,325.96,323.68,325.46,170,1,266
2022-06-03 09:00:00,325.07,325.61,324.52,325.46,38,1,13
2022-06-03 09:15:00,324.82,325.46,324.82,325.46,8,1,10
2022-06-03 09:30:00,325.02,325.02,325.02,325.02,2,1,2
2022-06-03 09:45:00,325.36,325.61,325.36,325.61,7,1,11
2022-06-03 10:00:00,325.71,327.44,325.46,326.6,55,1,71
2022-06-03 10:15:00,327.24,327.24,326.45,326.45,17,1,19
2022-06-03 10:30:00,326.7,327.14,326.45,326.45,35,1,70
2022-06-03 10:45:00,326.55,327.14,326.55,326.55,16,1,40
2022-06-03 11:00:00,326.55,326.55,326.1,326.45,14,1,56
2022-06-03 11:15:00,326.45,326.45,325.96,326.45,54,1,67
2022-06-03 11:30:00,326.45,326.45,326.4,326.45,3,1,6
2022-06-03 11:45:00,326.89,327.14,326.5,326.5,8,1,9
2022-06-03 12:00:00,326.55,326.89,326.5,326.89,6,1,8
