time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 09:00:00,123.34,123.74,122.82,123.29,539,1,592
2022-06-01 09:15:00,123.3,123.33,122.93,123.21,175,1,293
2022-06-01 09:30:00,123.28,123.39,123.06,123.3,64,1,87
2022-06-01 09:45:00,123.28,123.53,123.06,123.25,119,1,223
2022-06-01 10:00:00,123.3,123.32,122.67,122.79,246,1,425
2022-06-01 10:15:00,122.79,123.06,122.45,122.66,224,1,441
2022-06-01 10:30:00,122.72,122.94,122.62,122.79,181,1,285
2022-06-01 10:45:00,122.67,122.79,122.51,122.63,125,1,195
2022-06-01 11:00:00,122.62,122.89,122.59,122.79,104,1,184
2022-06-01 11:15:00,122.78,122.78,122.64,122.7,119,1,192
2022-06-01 11:30:00,122.72,122.81,122.33,122.45,182,1,386
2022-06-01 11:45:00,122.45,122.45,121.9,122.09,379,1,709
2022-06-01 12:00:00,122.09,122.12,121.05,121.33,883,1,1542
2022-06-01 12:15:00,121.31,121.6,121.24,121.31,426,1,2063
2022-06-01 12:30:00,121.37,121.64,121.28,121.5,181,1,344
2022-06-01 12:45:00,121.51,121.51,121.23,121.37,227,1,303
2022-06-01 13:00:00,121.4,121.75,121.36,121.55,186,1,318
2022-06-01 13:15:00,121.58,121.98,121.58,121.93,167,1,229
2022-06-01 13:30:00,121.96,122.25,121.35,121.97,507,1,713
2022-06-01 13:45:00,121.97,122.05,121.78,121.93,137,1,187
2022-06-01 14:00:00,121.93,121.93,121.37,121.44,168,1,360
2022-06-01 14:15:00,121.44,121.54,121.31,121.39,221,1,460
2022-06-01 14:30:00,121.39,121.58,121.35,121.5,145,1,237
2022-06-01 14:45:00,121.44,121.69,121.36,121.64,140,1,228
2022-06-01 15:00:00,121.6,121.91,121.51,121.67,199,1,256
2022-06-01 15:15:00,121.59,121.73,121.43,121.5,154,1,201
2022-06-01 15:30:00,121.48,121.59,121.44,121.48,44,1,81
2022-06-01 15:45:00,121.44,121.5,121.35,121.37,116,1,142
2022-06-01 16:00:00,121.37,121.51,121.17,121.33,282,1,518
2022-06-01 16:15:00,121.42,121.55,121.17,121.17,78,1,195
2022-06-02 09:00:00,121.02,122.52,120.73,122.05,951,1,1191
2022-06-02 09:15:00,122.1,122.76,121.94,122.39,389,1,586
2022-06-02 09:30:00,122.45,122.66,122.01,122.1,240,1,452
2022-06-02 09:45:00,121.98,121.98,121.32,121.56,404,1,980
2022-06-02 10:00:00,121.64,121.78,121.56,121.64,97,1,124
2022-06-02 10:15:00,121.64,121.83,121.46,121.63,119,1,158
2022-06-02 10:30:00,121.63,122.24,121.63,121.9,230,1,519
2022-06-02 10:45:00,121.97,122.09,121.37,121.5,270,1,532
2022-06-02 11:00:00,121.44,121.75,121.43,121.55,112,1,137
2022-06-02 11:15:00,121.63,121.79,121.37,121.37,160,1,210
2022-06-02 11:30:00,121.33,121.39,120.97,121.15,209,1,284
2022-06-02 11:45:00,121.1,121.24,121.04,121.15,65,1,70
2022-06-02 12:00:00,121.16,121.25,120.9,121.01,112,1,123
2022-06-02 12:15:00,121.04,121.09,120.93,121.05,53,1,93
2022-06-02 12:30:00,121.08,121.1,120.84,120.84,52,1,93
2022-06-02 12:45:00,120.84,120.98,120.84,120.97,30,1,41
2022-06-02 13:00:00,120.9,121.0,120.9,121.0,26,1,32
2022-06-02 13:15:00,120.93,120.97,120.9,120.97,35,1,36
2022-06-02 13:30:00,120.97,121.06,120.5,120.66,235,1,482
2022-06-02 13:45:00,120.7,120.75,120.65,120.71,39,1,39
2022-06-02 14:00:00,120.7,120.89,120.62,120.75,104,1,190
2022-06-02 14:15:00,120.86,121.06,120.77,121.04,140,1,295
2022-06-02 14:30:00,121.0,121.05,120.9,120.9,52,1,229
2022-06-02 14:45:00,120.94,120.98,120.79,120.88,104,1,301
2022-06-02 15:00:00,120.88,121.16,120.88,121.04,93,1,127
2022-06-02 15:15:00,121.05,121.08,120.9,120.97,52,1,112
2022-06-02 15:30:00,120.9,120.96,120.81,120.81,37,1,60
2022-06-02 15:45:00,120.89,120.97,120.77,120.79,82,1,131
2022-06-02 16:00:00,120.78,120.9,120.5,120.74,272,1,441
2022-06-02 16:15:00,120.73,120.89,120.63,120.65,168,1,288
2022-06-03 09:00:00,120.63,121.71,120.35,120.92,544,1,655
2022-06-03 09:15:00,121.0,121.1,120.65,120.77,120,1,184
2022-06-03 09:30:00,120.67,120.77,120.21,120.62,236,1,307
2022-06-03 09:45:00,120.7,120.7,120.54,120.54,19,1,19
2022-06-03 10:00:00,120.54,120.69,120.5,120.59,52,1,82
2022-06-03 10:15:00,120.62,120.63,120.52,120.62,30,1,31
2022-06-03 10:30:00,120.62,120.71,120.36,120.46,116,1,147
2022-06-03 10:45:00,120.5,120.52,120.16,120.4,124,1,191
2022-06-03 11:00:00,120.38,120.38,119.96,119.96,135,1,280
2022-06-03 11:15:00,119.96,120.19,119.9,120.09,75,1,145
2022-06-03 11:30:00,120.09,120.2,119.92,120.16,118,1,481
2022-06-03 11:45:00,120.16,120.3,120.0,120.21,101,1,126
2022-06-03 12:00:00,120.16,120.4,120.16,120.31,134,1,203
2022-06-03 12:15:00,120.3,120.31,120.19,120.23,45,1,49
2022-06-03 12:30:00,120.23,120.27,120.09,120.15,77,1,112
2022-06-03 12:45:00,120.12,120.16,120.0,120.04,56,1,87
2022-06-03 13:00:00,120.01,120.09,119.9,119.99,82,1,111
2022-06-03 13:15:00,120.04,120.15,119.96,120.03,36,1,37
2022-06-03 13:30:00,120.03,120.23,119.99,120.23,70,1,108
2022-06-03 13:45:00,120.12,120.16,120.05,120.09,74,1,91
2022-06-03 14:00:00,120.09,120.12,119.94,120.09,135,1,266
2022-06-03 14:15:00,120.09,120.27,120.07,120.24,119,1,189
2022-06-03 14:30:00,120.23,120.3,120.19,120.27,30,1,44
2022-06-03 14:45:00,120.27,120.48,120.21,120.34,123,1,323
2022-06-03 15:00:00,120.39,120.61,120.01,120.05,420,1,682
2022-06-03 15:15:00,120.04,120.44,120.01,120.27,141,1,216
2022-06-03 15:30:00,120.31,120.4,119.99,120.09,270,1,525
2022-06-03 15:45:00,120.11,120.36,119.82,119.96,301,1,713
2022-06-03 16:00:00,119.96,120.11,119.72,119.78,460,1,1155
2022-06-03 16:15:00,119.85,119.97,119.72,119.92,142,1,461
2022-06-06 09:00:00,120.38,121.31,120.36,121.02,509,1,657
2022-06-06 09:15:00,121.0,121.01,120.31,120.31,182,1,238
2022-06-06 09:30:00,120.38,120.97,120.38,120.96,165,1,225
2022-06-06 09:45:00,120.96,121.28,120.9,121.23,166,1,203
2022-06-06 10:00:00,121.17,121.67,121.05,121.17,553,1,841
2022-06-06 10:15:00,121.15,121.21,120.79,120.92,270,1,290
2022-06-06 10:30:00,120.97,121.04,120.63,120.66,243,1,685
2022-06-06 10:45:00,120.63,120.9,120.61,120.78,175,1,262
2022-06-06 11:00:00,120.78,120.94,120.51,120.77,208,1,252
2022-06-06 11:15:00,120.7,121.01,120.7,120.77,178,1,287
2022-06-06 11:30:00,120.77,120.93,120.67,120.77,64,1,83
2022-06-06 11:45:00,120.81,121.15,120.71,120.97,496,1,636
2022-06-06 12:00:00,121.0,121.4,120.78,121.08,925,1,1176
2022-06-06 12:15:00,121.08,121.17,120.88,121.09,152,1,222
