time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 09:00:00,11.587,11.655,11.587,11.655,367,1,4790
2022-06-01 09:15:00,11.655,11.677,11.655,11.664,340,1,3715
2022-06-01 09:30:00,11.668,11.673,11.628,11.646,310,1,5065
2022-06-01 09:45:00,11.646,11.65,11.632,11.641,292,1,6025
2022-06-01 10:00:00,11.641,11.641,11.619,11.619,303,1,7065
2022-06-01 10:15:00,11.619,11.632,11.619,11.628,365,1,12290
2022-06-01 10:30:00,11.623,11.641,11.623,11.628,279,1,6950
2022-06-01 10:45:00,11.623,11.632,11.619,11.628,208,1,6820
2022-06-01 11:00:00,11.628,11.677,11.628,11.677,1021,1,13960
2022-06-01 11:15:00,11.677,11.7,11.673,11.691,808,1,15810
2022-06-01 11:30:00,11.686,11.691,11.65,11.655,983,1,13570
2022-06-01 11:45:00,11.659,11.677,11.659,11.677,480,1,8410
2022-06-01 12:00:00,11.677,11.677,11.659,11.664,425,1,8475
2022-06-01 12:15:00,11.664,11.686,11.664,11.677,357,1,5150
2022-06-01 12:30:00,11.673,11.704,11.664,11.7,1012,1,16795
2022-06-01 12:45:00,11.7,11.713,11.691,11.704,523,1,13015
2022-06-01 13:00:00,11.704,11.704,11.677,11.686,408,1,11430
2022-06-01 13:15:00,11.682,11.691,11.677,11.691,131,1,2565
2022-06-01 13:30:00,11.691,11.691,11.668,11.691,361,1,8185
2022-06-01 13:45:00,11.691,11.709,11.677,11.677,339,1,6050
2022-06-01 14:00:00,11.682,11.686,11.668,11.668,193,1,2565
2022-06-01 14:15:00,11.664,11.664,11.646,11.646,840,1,13855
2022-06-01 14:30:00,11.646,11.659,11.646,11.659,163,1,4425
2022-06-01 14:45:00,11.659,11.695,11.655,11.695,263,1,2970
2022-06-01 15:00:00,11.695,11.695,11.686,11.691,273,1,4190
2022-06-01 15:15:00,11.686,11.691,11.673,11.673,411,1,3515
2022-06-01 15:30:00,11.677,11.691,11.673,11.677,259,1,2680
2022-06-01 15:45:00,11.673,11.686,11.664,11.673,531,1,26870
2022-06-01 16:45:00,11.682,11.709,11.682,11.704,321,1,3055
2022-06-01 17:00:00,11.704,11.704,11.686,11.691,398,1,5585
2022-06-01 17:15:00,11.695,11.695,11.682,11.686,244,1,8210
2022-06-01 17:30:00,11.691,11.691,11.686,11.691,205,1,3995
2022-06-01 17:45:00,11.686,11.718,11.686,11.709,215,1,4275
2022-06-02 09:00:00,11.686,11.736,11.664,11.727,734,1,13795
2022-06-02 09:15:00,11.727,11.758,11.713,11.731,1507,1,35500
2022-06-02 09:30:00,11.731,11.74,11.695,11.7,654,1,21835
2022-06-02 09:45:00,11.7,11.704,11.686,11.7,605,1,15750
2022-06-02 10:00:00,11.695,11.718,11.691,11.691,645,1,15330
2022-06-02 10:15:00,11.686,11.7,11.682,11.695,376,1,8000
2022-06-02 10:30:00,11.695,11.722,11.695,11.7,1045,1,25875
2022-06-02 10:45:00,11.7,11.74,11.7,11.731,501,1,6170
2022-06-02 11:00:00,11.731,11.745,11.727,11.74,1052,1,17845
2022-06-02 11:15:00,11.74,11.749,11.731,11.74,874,1,12630
2022-06-02 11:30:00,11.74,11.749,11.731,11.736,524,1,7745
2022-06-02 11:45:00,11.736,11.749,11.731,11.731,952,1,14165
2022-06-02 12:00:00,11.736,11.736,11.722,11.722,742,1,13100
2022-06-02 12:15:00,11.727,11.727,11.718,11.722,532,1,5700
2022-06-02 12:30:00,11.722,11.736,11.718,11.736,283,1,4000
2022-06-02 12:45:00,11.736,11.74,11.718,11.718,342,1,6660
2022-06-02 13:00:00,11.722,11.722,11.713,11.722,321,1,4170
2022-06-02 13:15:00,11.722,11.74,11.722,11.727,304,1,3840
2022-06-02 13:30:00,11.731,11.736,11.731,11.736,275,1,3755
2022-06-02 13:45:00,11.736,11.754,11.731,11.749,634,1,9520
2022-06-02 14:00:00,11.758,11.776,11.754,11.772,1341,1,15180
2022-06-02 14:15:00,11.772,11.817,11.767,11.794,1452,1,28575
2022-06-02 14:30:00,11.794,11.799,11.776,11.799,556,1,10055
2022-06-02 14:45:00,11.799,11.808,11.794,11.799,624,1,11855
2022-06-02 15:00:00,11.799,11.808,11.79,11.79,434,1,8380
2022-06-02 15:15:00,11.794,11.799,11.79,11.799,422,1,11890
2022-06-02 15:30:00,11.799,11.799,11.781,11.785,723,1,19475
2022-06-02 15:45:00,11.785,11.785,11.736,11.736,1750,1,68835
2022-06-02 16:45:00,11.745,11.749,11.731,11.731,333,1,9265
2022-06-02 17:00:00,11.731,11.736,11.731,11.736,87,1,1295
2022-06-02 17:15:00,11.736,11.745,11.736,11.745,241,1,5680
2022-06-02 17:30:00,11.745,11.749,11.731,11.731,216,1,3295
2022-06-02 17:45:00,11.731,11.754,11.731,11.736,422,1,7375
2022-06-03 09:00:00,11.772,11.772,11.713,11.758,359,1,5870
2022-06-03 09:15:00,11.758,11.785,11.736,11.736,362,1,3375
2022-06-03 09:30:00,11.745,11.808,11.731,11.799,1414,1,15570
2022-06-03 09:45:00,11.803,11.803,11.785,11.79,306,1,5555
2022-06-03 10:00:00,11.785,11.79,11.776,11.79,270,1,6495
2022-06-03 10:15:00,11.794,11.799,11.79,11.799,233,1,3230
2022-06-03 10:30:00,11.799,11.799,11.776,11.785,328,1,6795
2022-06-03 10:45:00,11.785,11.785,11.767,11.785,449,1,7125
2022-06-03 11:00:00,11.781,11.781,11.754,11.758,384,1,8155
2022-06-03 11:15:00,11.754,11.754,11.731,11.74,449,1,11640
2022-06-03 11:30:00,11.736,11.754,11.731,11.74,419,1,9550
2022-06-03 11:45:00,11.74,11.758,11.74,11.758,192,1,23775
2022-06-03 12:00:00,11.754,11.776,11.754,11.767,209,1,7635
2022-06-03 12:15:00,11.767,11.767,11.754,11.754,123,1,2160
2022-06-03 12:30:00,11.754,11.767,11.754,11.763,160,1,2930
2022-06-03 12:45:00,11.758,11.763,11.749,11.749,96,1,3475
2022-06-03 13:00:00,11.745,11.749,11.727,11.727,277,1,3605
2022-06-03 13:15:00,11.727,11.727,11.677,11.686,1318,1,18270
2022-06-03 13:30:00,11.691,11.695,11.659,11.682,689,1,9785
2022-06-03 13:45:00,11.682,11.704,11.677,11.686,446,1,8155
2022-06-03 14:00:00,11.682,11.695,11.673,11.682,273,1,6220
