time,open,high,low,close,tick_volume,spread,real_volume
2022-06-01 10:00:00,9.28,9.3,9.23,9.27,110,1,5073
2022-06-01 10:15:00,9.27,9.29,9.23,9.29,43,1,6686
2022-06-01 10:30:00,9.29,9.3,9.28,9.29,77,1,7513
2022-06-01 10:45:00,9.28,9.29,9.27,9.29,43,1,3722
2022-06-01 11:00:00,9.29,9.37,9.28,9.36,165,1,49984
2022-06-01 11:15:00,9.35,9.38,9.33,9.37,36,1,7204
2022-06-01 11:30:00,9.37,9.37,9.34,9.36,46,1,3531
2022-06-01 11:45:00,9.37,9.41,9.36,9.41,193,1,24293
2022-06-01 12:00:00,9.41,9.42,9.4,9.41,164,1,19019
2022-06-01 12:15:00,9.42,9.43,9.41,9.43,146,1,4206
2022-06-01 12:30:00,9.43,9.44,9.42,9.44,154,1,10753
2022-06-01 12:45:00,9.44,9.44,9.43,9.43,156,1,10076
2022-06-01 13:00:00,9.43,9.46,9.42,9.42,188,1,263429
2022-06-01 13:15:00,9.44,9.46,9.42,9.45,41,1,14121
2022-06-01 13:30:00,9.46,9.46,9.45,9.46,21,1,146
2022-06-01 13:45:00,9.45,9.47,9.45,9.45,25,1,4985
2022-06-01 14:00:00,9.47,9.47,9.45,9.46,20,1,13625
2022-06-01 14:15:00,9.46,9.46,9.45,9.45,38,1,6889
2022-06-01 14:30:00,9.44,9.44,9.43,9.44,18,1,2309
2022-06-01 14:45:00,9.43,9.44,9.42,9.44,36,1,31134
2022-06-01 15:00:00,9.44,9.45,9.44,9.45,51,1,1550
2022-06-01 15:15:00,9.44,9.45,9.43,9.43,27,1,14842
2022-06-01 15:30:00,9.45,9.45,9.44,9.44,26,1,1946
2022-06-01 15:45:00,9.44,9.45,9.43,9.44,29,1,1342
2022-06-01 16:00:00,9.44,9.45,9.43,9.45,19,1,1496
2022-06-01 16:15:00,9.44,9.45,9.44,9.44,16,1,2080
2022-06-01 16:30:00,9.44,9.45,9.43,9.44,44,1,178937
2022-06-01 16:45:00,9.45,9.45,9.44,9.45,39,1,432769
2022-06-02 10:00:00,9.44,9.44,9.42,9.44,37,1,4821
2022-06-02 10:15:00,9.44,9.45,9.43,9.44,35,1,2853
2022-06-02 10:30:00,9.44,9.55,9.44,9.53,194,1,40858
2022-06-02 10:45:00,9.51,9.54,9.5,9.54,27,1,4779
2022-06-02 11:00:00,9.52,9.55,9.5,9.53,68,1,24106
2022-06-02 11:15:00,9.53,9.55,9.53,9.55,50,1,29401
2022-06-02 11:30:00,9.55,9.56,9.53,9.53,78,1,22908
2022-06-02 11:45:00,9.53,9.56,9.51,9.56,126,1,21099
2022-06-02 12:00:00,9.56,9.56,9.5,9.52,70,1,8628
2022-06-02 12:15:00,9.53,9.53,9.51,9.52,19,1,2798
2022-06-02 12:30:00,9.52,9.54,9.51,9.54,21,1,989
2022-06-02 12:45:00,9.53,9.53,9.51,9.52,11,1,760
2022-06-02 13:00:00,9.52,9.52,9.51,9.52,11,1,84
2022-06-02 13:15:00,9.51,9.52,9.51,9.51,15,1,283
2022-06-02 13:30:00,9.51,9.52,9.51,9.52,41,1,3483
2022-06-02 13:45:00,9.52,9.52,9.5,9.5,9,1,605
2022-06-02 14:00:00,9.5,9.51,9.49,9.51,60,1,8304
2022-06-02 14:15:00,9.51,9.52,9.51,9.51,30,1,4674
2022-06-02 14:30:00,9.51,9.54,9.51,9.54,28,1,2628
2022-06-02 14:45:00,9.54,9.54,9.53,9.54,17,1,1127
2022-06-02 15:00:00,9.54,9.54,9.53,9.54,6,1,131
2022-06-02 15:15:00,9.54,9.55,9.53,9.53,30,1,16155
