Parameter,Importance,model_code
dropout,0.3338990416923937,CNN-GRU_LB15_LF1_behavior
epochs,0.2700108571453185,CNN-GRU_LB15_LF1_behavior
hidden_size,0.16595754360653545,CNN-GRU_LB15_LF1_behavior
learning_rate,0.09626886595044906,CNN-GRU_LB15_LF1_behavior
conv_filters,0.0701419335102447,CNN-GRU_LB15_LF1_behavior
batch_size,0.054548437691693985,CNN-GRU_LB15_LF1_behavior
num_layers,0.009173320403364636,CNN-GRU_LB15_LF1_behavior
conv_filters,0.2925472972742219,CNN-GRU_LB15_LF1_close_price_target
epochs,0.1719894408771983,CNN-GRU_LB15_LF1_close_price_target
learning_rate,0.15938614118330138,CNN-GRU_LB15_LF1_close_price_target
dropout,0.15830208755348266,CNN-GRU_LB15_LF1_close_price_target
batch_size,0.10426920262257336,CNN-GRU_LB15_LF1_close_price_target
hidden_size,0.08350239618735454,CNN-GRU_LB15_LF1_close_price_target
num_layers,0.03000343430186773,CNN-GRU_LB15_LF1_close_price_target
learning_rate,0.40373895363142404,CNN-GRU_LB15_LF1_open_price_target
hidden_size,0.17938078247898054,CNN-GRU_LB15_LF1_open_price_target
dropout,0.1751451403030777,CNN-GRU_LB15_LF1_open_price_target
epochs,0.1488578389154269,CNN-GRU_LB15_LF1_open_price_target
batch_size,0.05159338150535226,CNN-GRU_LB15_LF1_open_price_target
conv_filters,0.039053154422405,CNN-GRU_LB15_LF1_open_price_target
num_layers,0.0022307487433335976,CNN-GRU_LB15_LF1_open_price_target
epochs,0.33913921861636837,CNN-GRU_LB30_LF1_behavior
learning_rate,0.20003177008801964,CNN-GRU_LB30_LF1_behavior
hidden_size,0.18928684279466715,CNN-GRU_LB30_LF1_behavior
dropout,0.10123683202331225,CNN-GRU_LB30_LF1_behavior
conv_filters,0.0994733585376442,CNN-GRU_LB30_LF1_behavior
batch_size,0.039810004392188826,CNN-GRU_LB30_LF1_behavior
num_layers,0.031021973547799366,CNN-GRU_LB30_LF1_behavior
hidden_size,0.2183388213407593,CNN-GRU_LB30_LF1_close_price_target
epochs,0.20232982067114427,CNN-GRU_LB30_LF1_close_price_target
batch_size,0.16079601647870112,CNN-GRU_LB30_LF1_close_price_target
num_layers,0.15630300361340474,CNN-GRU_LB30_LF1_close_price_target
learning_rate,0.1398876754164089,CNN-GRU_LB30_LF1_close_price_target
conv_filters,0.07452159282700417,CNN-GRU_LB30_LF1_close_price_target
dropout,0.04782306965257765,CNN-GRU_LB30_LF1_close_price_target
learning_rate,0.4144850986671377,CNN-GRU_LB30_LF1_open_price_target
epochs,0.3029553137045516,CNN-GRU_LB30_LF1_open_price_target
dropout,0.21712883092999574,CNN-GRU_LB30_LF1_open_price_target
batch_size,0.030678095223186114,CNN-GRU_LB30_LF1_open_price_target
hidden_size,0.015972443229552668,CNN-GRU_LB30_LF1_open_price_target
conv_filters,0.014974652387058987,CNN-GRU_LB30_LF1_open_price_target
num_layers,0.0038055658585172914,CNN-GRU_LB30_LF1_open_price_target
dropout,0.3325039474905489,CNN-GRU_LB45_LF1_behavior
epochs,0.3175992924265979,CNN-GRU_LB45_LF1_behavior
hidden_size,0.12310744219401544,CNN-GRU_LB45_LF1_behavior
batch_size,0.08530742688578755,CNN-GRU_LB45_LF1_behavior
conv_filters,0.07250353819131031,CNN-GRU_LB45_LF1_behavior
learning_rate,0.04473668774461428,CNN-GRU_LB45_LF1_behavior
num_layers,0.024241665067125755,CNN-GRU_LB45_LF1_behavior
hidden_size,0.32155532951013704,CNN-GRU_LB45_LF1_close_price_target
learning_rate,0.18366578995563224,CNN-GRU_LB45_LF1_close_price_target
dropout,0.15973621244615685,CNN-GRU_LB45_LF1_close_price_target
conv_filters,0.12900484572743268,CNN-GRU_LB45_LF1_close_price_target
epochs,0.10208317539044104,CNN-GRU_LB45_LF1_close_price_target
batch_size,0.06184191045958457,CNN-GRU_LB45_LF1_close_price_target
num_layers,0.04211273651061548,CNN-GRU_LB45_LF1_close_price_target
epochs,0.3939036480456936,CNN-GRU_LB45_LF1_open_price_target
conv_filters,0.28161406508800896,CNN-GRU_LB45_LF1_open_price_target
dropout,0.11710315537906099,CNN-GRU_LB45_LF1_open_price_target
batch_size,0.09494532313763263,CNN-GRU_LB45_LF1_open_price_target
hidden_size,0.06441242552186753,CNN-GRU_LB45_LF1_open_price_target
learning_rate,0.03878317234317798,CNN-GRU_LB45_LF1_open_price_target
num_layers,0.009238210484558189,CNN-GRU_LB45_LF1_open_price_target
hidden_size,0.5429686241074634,CNN-GRU_LB60_LF1_behavior
epochs,0.2686366353668676,CNN-GRU_LB60_LF1_behavior
dropout,0.09658121883246316,CNN-GRU_LB60_LF1_behavior
learning_rate,0.046180256458175035,CNN-GRU_LB60_LF1_behavior
conv_filters,0.028037707130372007,CNN-GRU_LB60_LF1_behavior
batch_size,0.013290009616624583,CNN-GRU_LB60_LF1_behavior
num_layers,0.004305548488034231,CNN-GRU_LB60_LF1_behavior
learning_rate,0.6868188534353721,CNN-GRU_LB60_LF1_close_price_target
hidden_size,0.12333552397811515,CNN-GRU_LB60_LF1_close_price_target
epochs,0.07609333897542016,CNN-GRU_LB60_LF1_close_price_target
dropout,0.07253863541891936,CNN-GRU_LB60_LF1_close_price_target
batch_size,0.024296522052776454,CNN-GRU_LB60_LF1_close_price_target
num_layers,0.012122312611865313,CNN-GRU_LB60_LF1_close_price_target
conv_filters,0.004794813527531492,CNN-GRU_LB60_LF1_close_price_target
conv_filters,0.23794407852706856,CNN-GRU_LB60_LF1_open_price_target
hidden_size,0.23121829090792356,CNN-GRU_LB60_LF1_open_price_target
epochs,0.2112045821861622,CNN-GRU_LB60_LF1_open_price_target
dropout,0.13212028435481116,CNN-GRU_LB60_LF1_open_price_target
batch_size,0.10945675013156918,CNN-GRU_LB60_LF1_open_price_target
learning_rate,0.0772892854726801,CNN-GRU_LB60_LF1_open_price_target
num_layers,0.0007667284197853886,CNN-GRU_LB60_LF1_open_price_target
epochs,0.3292132222037146,CNN-GRU_LB7_LF1_behavior
hidden_size,0.24411353528320923,CNN-GRU_LB7_LF1_behavior
dropout,0.2307375881229074,CNN-GRU_LB7_LF1_behavior
num_layers,0.1264864031822333,CNN-GRU_LB7_LF1_behavior
learning_rate,0.043270914584147974,CNN-GRU_LB7_LF1_behavior
conv_filters,0.01378402850281507,CNN-GRU_LB7_LF1_behavior
batch_size,0.012394308120972612,CNN-GRU_LB7_LF1_behavior
hidden_size,0.41318640717989,CNN-GRU_LB7_LF1_close_price_target
dropout,0.1130092682969621,CNN-GRU_LB7_LF1_close_price_target
learning_rate,0.10943221275901283,CNN-GRU_LB7_LF1_close_price_target
batch_size,0.10932710574656565,CNN-GRU_LB7_LF1_close_price_target
epochs,0.10060526886132289,CNN-GRU_LB7_LF1_close_price_target
conv_filters,0.07864119800512491,CNN-GRU_LB7_LF1_close_price_target
num_layers,0.07579853915112165,CNN-GRU_LB7_LF1_close_price_target
learning_rate,0.4296930059245391,CNN-GRU_LB7_LF1_open_price_target
batch_size,0.26319511051961547,CNN-GRU_LB7_LF1_open_price_target
dropout,0.08523550346842218,CNN-GRU_LB7_LF1_open_price_target
epochs,0.08047970398345644,CNN-GRU_LB7_LF1_open_price_target
hidden_size,0.06689849712709932,CNN-GRU_LB7_LF1_open_price_target
conv_filters,0.055214050460646764,CNN-GRU_LB7_LF1_open_price_target
num_layers,0.01928412851622066,CNN-GRU_LB7_LF1_open_price_target
learning_rate,0.4480630664567342,CNN-LSTM_LB15_LF1_behavior
hidden_size,0.25406283370868843,CNN-LSTM_LB15_LF1_behavior
dropout,0.19602256634401807,CNN-LSTM_LB15_LF1_behavior
epochs,0.06595062970311462,CNN-LSTM_LB15_LF1_behavior
num_layers,0.029360948377611745,CNN-LSTM_LB15_LF1_behavior
batch_size,0.003531235472804899,CNN-LSTM_LB15_LF1_behavior
conv_filters,0.003008719937027764,CNN-LSTM_LB15_LF1_behavior
learning_rate,0.4516610683213275,CNN-LSTM_LB15_LF1_close_price_target
hidden_size,0.14511023557694339,CNN-LSTM_LB15_LF1_close_price_target
dropout,0.1390962537109881,CNN-LSTM_LB15_LF1_close_price_target
epochs,0.11201249194576064,CNN-LSTM_LB15_LF1_close_price_target
conv_filters,0.10100890167455953,CNN-LSTM_LB15_LF1_close_price_target
num_layers,0.035871567893085696,CNN-LSTM_LB15_LF1_close_price_target
batch_size,0.015239480877335192,CNN-LSTM_LB15_LF1_close_price_target
learning_rate,0.5601354905382261,CNN-LSTM_LB15_LF1_open_price_target
epochs,0.16775470256202482,CNN-LSTM_LB15_LF1_open_price_target
num_layers,0.09742969310056322,CNN-LSTM_LB15_LF1_open_price_target
hidden_size,0.07316708365404417,CNN-LSTM_LB15_LF1_open_price_target
dropout,0.04755150249150314,CNN-LSTM_LB15_LF1_open_price_target
batch_size,0.039501713766375714,CNN-LSTM_LB15_LF1_open_price_target
conv_filters,0.014459813887262755,CNN-LSTM_LB15_LF1_open_price_target
hidden_size,0.2564635447550482,CNN-LSTM_LB30_LF1_behavior
epochs,0.22925781136801945,CNN-LSTM_LB30_LF1_behavior
learning_rate,0.217328789311648,CNN-LSTM_LB30_LF1_behavior
dropout,0.1799640641788432,CNN-LSTM_LB30_LF1_behavior
conv_filters,0.06045016632316883,CNN-LSTM_LB30_LF1_behavior
batch_size,0.04413434351650947,CNN-LSTM_LB30_LF1_behavior
num_layers,0.012401280546762768,CNN-LSTM_LB30_LF1_behavior
dropout,0.33744698147277385,CNN-LSTM_LB30_LF1_close_price_target
epochs,0.1975078405968085,CNN-LSTM_LB30_LF1_close_price_target
conv_filters,0.13404857692415437,CNN-LSTM_LB30_LF1_close_price_target
batch_size,0.0913355401027301,CNN-LSTM_LB30_LF1_close_price_target
hidden_size,0.08170034463122526,CNN-LSTM_LB30_LF1_close_price_target
learning_rate,0.08125811881546367,CNN-LSTM_LB30_LF1_close_price_target
num_layers,0.0767025974568444,CNN-LSTM_LB30_LF1_close_price_target
hidden_size,0.32826656475372906,CNN-LSTM_LB30_LF1_open_price_target
learning_rate,0.21311874143585424,CNN-LSTM_LB30_LF1_open_price_target
dropout,0.2115248116659664,CNN-LSTM_LB30_LF1_open_price_target
epochs,0.14913500200781535,CNN-LSTM_LB30_LF1_open_price_target
conv_filters,0.059341973326357295,CNN-LSTM_LB30_LF1_open_price_target
batch_size,0.03536885202614605,CNN-LSTM_LB30_LF1_open_price_target
num_layers,0.0032440547841316864,CNN-LSTM_LB30_LF1_open_price_target
hidden_size,0.3228199085232188,CNN-LSTM_LB45_LF1_behavior
conv_filters,0.1641449190056526,CNN-LSTM_LB45_LF1_behavior
epochs,0.15373428264969452,CNN-LSTM_LB45_LF1_behavior
learning_rate,0.1394008933986609,CNN-LSTM_LB45_LF1_behavior
dropout,0.10615200831377941,CNN-LSTM_LB45_LF1_behavior
num_layers,0.07038232454876656,CNN-LSTM_LB45_LF1_behavior
batch_size,0.04336566356022717,CNN-LSTM_LB45_LF1_behavior
epochs,0.3689219717410302,CNN-LSTM_LB45_LF1_close_price_target
hidden_size,0.20828701578821568,CNN-LSTM_LB45_LF1_close_price_target
batch_size,0.19180450085763592,CNN-LSTM_LB45_LF1_close_price_target
conv_filters,0.11680514252656508,CNN-LSTM_LB45_LF1_close_price_target
learning_rate,0.06392826023826087,CNN-LSTM_LB45_LF1_close_price_target
dropout,0.034842799759612436,CNN-LSTM_LB45_LF1_close_price_target
num_layers,0.015410309088679686,CNN-LSTM_LB45_LF1_close_price_target
hidden_size,0.372178093380711,CNN-LSTM_LB45_LF1_open_price_target
epochs,0.24391100576739272,CNN-LSTM_LB45_LF1_open_price_target
dropout,0.14083906384540842,CNN-LSTM_LB45_LF1_open_price_target
learning_rate,0.10266190128381038,CNN-LSTM_LB45_LF1_open_price_target
conv_filters,0.08008297194889935,CNN-LSTM_LB45_LF1_open_price_target
batch_size,0.04116035154482254,CNN-LSTM_LB45_LF1_open_price_target
num_layers,0.01916661222895557,CNN-LSTM_LB45_LF1_open_price_target
learning_rate,0.583294091740539,CNN-LSTM_LB60_LF1_behavior
dropout,0.40451387497584884,CNN-LSTM_LB60_LF1_behavior
hidden_size,0.0031495176137478396,CNN-LSTM_LB60_LF1_behavior
conv_filters,0.002871828994339433,CNN-LSTM_LB60_LF1_behavior
batch_size,0.0023333386371886793,CNN-LSTM_LB60_LF1_behavior
