model_code,best_trial_value,epochs,batch_size,learning_rate,dropout,num_layers,hidden_size,conv_filters,best_trial_index,model
CNN-GRU_LB15_LF1_open_price,0.03724304214119911,686,128,0.00013674552019284487,0.25802065356597,3,119,32.0,35,CNN-GRU
CNN-GRU_LB30_LF1_open_price,0.05957476794719696,763,128,0.00011377991316708035,0.2580632481918334,3,72,32.0,25,CNN-GRU
CNN-GRU_LB45_LF1_open_price,0.05617671087384224,450,128,0.00022248456384016765,0.3876921944464805,2,126,32.0,44,CNN-GRU
CNN-GRU_LB60_LF1_open_price,0.07645197957754135,695,128,0.00010879332105329327,0.4316155622310934,2,21,32.0,14,CNN-GRU
CNN-GRU_LB7_LF1_open_price,0.0706767588853836,493,128,0.00013139061023649797,0.23937828788008517,2,99,32.0,49,CNN-GRU
CNN-LSTM_LB15_LF1_open_price,0.07264865934848785,705,128,0.0002288271824321141,0.49872147053230165,3,72,64.0,14,CNN-LSTM
CNN-LSTM_LB30_LF1_open_price,0.09441191703081131,847,128,0.00847533870304246,0.31930512636500497,3,93,128.0,2,CNN-LSTM
CNN-LSTM_LB45_LF1_open_price,0.13330931961536407,556,32,0.002890625324545644,0.3689238981456918,2,109,128.0,0,CNN-LSTM
CNN-LSTM_LB7_LF1_open_price,0.05572615563869476,424,128,0.0007436607666838505,0.2167711258913934,2,213,64.0,35,CNN-LSTM
GRU_LB15_LF1_open_price,0.07527073472738266,537,32,0.001807912763077393,0.4198662978965536,3,84,,0,GRU
GRU_LB30_LF1_open_price,0.096600741147995,726,128,0.004620271434000114,0.4857919409458051,2,97,,3,GRU
GRU_LB45_LF1_open_price,0.10086280852556229,352,128,0.00010859601415865079,0.2624063521075764,2,118,,24,GRU
GRU_LB60_LF1_open_price,0.16714514791965485,404,128,0.00018446138583291013,0.2968696455287685,2,77,,22,GRU
GRU_LB7_LF1_open_price,0.07855076342821121,725,128,0.00017374719147670317,0.4535663979712589,2,94,,5,GRU
LSTM_LB15_LF1_open_price,0.0737360268831253,599,128,0.009890524175518762,0.4681953291291287,3,83,,3,LSTM
LSTM_LB30_LF1_open_price,0.09214205294847488,578,64,0.00021695953911252038,0.27858063258513327,3,47,,45,LSTM
LSTM_LB45_LF1_open_price,0.0942244902253151,902,128,0.0004177423486488947,0.4312247239559432,2,85,,3,LSTM
LSTM_LB60_LF1_open_price,0.17638225853443146,426,128,0.00016184878781354945,0.3903259152052082,2,49,,49,LSTM
LSTM_LB7_LF1_open_price,0.06924394518136978,473,32,0.0023017626875573394,0.2948395897582917,3,34,,2,LSTM
