model_code,best_trial_value,epochs,batch_size,learning_rate,dropout,num_layers,hidden_size,conv_filters,best_trial_index,model
CNN-GRU_LB15_LF1_close_price,0.03436941280961037,919,128,0.00010357979371421678,0.39342270420318765,2,128,32.0,16,CNN-GRU
CNN-GRU_LB30_LF1_close_price,0.030666174367070198,391,128,0.00010098759729307995,0.2565168920284717,2,128,32.0,44,CNN-GRU
CNN-GRU_LB45_LF1_close_price,0.03760130703449249,354,128,0.00011873188248329182,0.497359254009872,2,109,32.0,13,CNN-GRU
CNN-GRU_LB60_LF1_close_price,0.10708155483007431,558,64,0.00010015994163414743,0.46790886935467035,3,102,32.0,39,CNN-GRU
CNN-GRU_LB7_LF1_close_price,0.0636933296918869,967,128,0.00010359286844586223,0.4021630136119322,2,50,64.0,41,CNN-GRU
CNN-LSTM_LB15_LF1_close_price,0.07157967984676361,740,128,0.008184282903628581,0.41535084236000075,2,71,32.0,3,CNN-LSTM
CNN-LSTM_LB30_LF1_close_price,0.0929311066865921,385,64,0.005793926172453801,0.4387611555378555,2,105,64.0,4,CNN-LSTM
CNN-LSTM_LB45_LF1_close_price,0.09646544605493546,661,64,0.00030550558523477814,0.37999020532255,2,114,32.0,40,CNN-LSTM
CNN-LSTM_LB60_LF1_close_price,0.15801875293254852,468,128,0.00010445904542381592,0.4189781943400859,2,78,32.0,11,CNN-LSTM
CNN-LSTM_LB7_LF1_close_price,0.06760918349027634,724,32,0.0024148306451799426,0.3748351159976796,2,178,64.0,3,CNN-LSTM
GRU_LB15_LF1_close_price,0.06368495523929596,426,32,0.00010263564131160794,0.2512230172407901,3,120,,33,GRU
GRU_LB30_LF1_close_price,0.10215828567743301,919,32,0.004359344790408023,0.35885557988490546,2,68,,1,GRU
GRU_LB60_LF1_close_price,0.16284237802028656,436,128,0.00014510236199014585,0.22321558966372945,2,94,,37,GRU
GRU_LB7_LF1_close_price,0.06976744532585144,478,32,0.005888656048717765,0.20635297395444002,2,50,,2,GRU
LSTM_LB15_LF1_close_price,0.07467713207006454,425,32,0.006843328903628716,0.4362187123027524,3,16,,0,LSTM
LSTM_LB30_LF1_close_price,0.09343433380126953,354,64,0.0068034714079078405,0.22478001960275007,2,31,,3,LSTM
LSTM_LB45_LF1_close_price,0.12056726962327957,389,128,0.0005803016059534286,0.40632077103487463,2,104,,37,LSTM
LSTM_LB60_LF1_close_price,0.15845395624637604,515,128,0.00017985853478175726,0.4056385968080635,2,72,,36,LSTM
LSTM_LB7_LF1_close_price,0.07091200351715088,485,128,0.006500216534278986,0.3235213752521129,3,42,,0,LSTM
