Start Date,End Date,Cointegrated Variables,Cointegration (Trace),Ranking (Trace),Cointegration (Max Eigenvalue),Ranking (Max Eigenvalue),Eigenvalues,Difference in Days,Difference in Months
2024-03-05 13:30:00,2024-04-16 14:45:00,"close_BGI$, close_AGFS",0,0,1,1,[0.01103033 0.00015415],42,1.379876796714579
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_AGFS",1,1,1,1,[0.01116865 0.00152186],39,1.2813141683778233
2023-03-27 10:30:00,2023-05-10 11:45:00,"close_BGI$, close_CCM$",1,1,1,1,[0.013484   0.00221182],44,1.4455852156057496
2024-08-20 10:30:00,2024-11-08 13:15:00,"close_BGI$, close_CCM$",1,2,1,2,[0.01198166 0.00221595],80,2.628336755646817
2023-02-10 09:00:00,2023-03-27 10:15:00,"close_BGI$, close_DI1$",1,1,1,1,[0.01084965 0.00098163],45,1.4784394250513346
2024-03-05 13:30:00,2024-04-16 14:45:00,"close_BGI$, close_DI1$",1,1,1,1,[0.02038926 0.00040447],42,1.379876796714579
2024-08-20 10:30:00,2024-11-08 13:15:00,"close_BGI$, close_DI1$",1,1,1,1,[0.01077992 0.00079096],80,2.628336755646817
2022-11-18 15:00:00,2022-12-29 16:15:00,"close_BGI$, close_DOL$",1,1,1,1,[0.0129912  0.00036365],41,1.3470225872689938
2024-01-22 12:00:00,2024-04-16 14:45:00,"close_BGI$, close_DOL$",1,1,1,1,[0.01302573 0.00023015],85,2.7926078028747434
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_DOL$",1,2,1,2,[0.01277636 0.00664442],39,1.2813141683778233
2024-01-22 12:00:00,2024-04-16 14:45:00,"close_BGI$, close_GOLD11",1,1,1,1,[1.04636923e-02 1.93309178e-05],85,2.7926078028747434
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_GOLD11",1,1,1,1,[0.01120446 0.00170599],39,1.2813141683778233
2022-08-24 12:00:00,2022-10-05 13:15:00,"close_BGI$, close_IBOV",1,1,1,1,[1.3005724e-02 8.7980973e-05],42,1.379876796714579
2024-03-05 13:30:00,2024-04-16 14:45:00,"close_BGI$, close_IBOV",0,0,1,1,[1.15751117e-02 1.97324980e-06],42,1.379876796714579
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_IBOV",1,1,1,1,[0.01120742 0.00095149],39,1.2813141683778233
2022-06-02 09:00:00,2022-07-14 10:15:00,"close_BGI$, close_ICF$",1,1,1,1,[0.01396542 0.00120343],42,1.379876796714579
2023-02-10 09:00:00,2023-03-27 10:15:00,"close_BGI$, close_ICF$",1,1,1,1,[1.25219909e-02 1.75838864e-05],45,1.4784394250513346
2024-01-22 12:00:00,2024-04-16 14:45:00,"close_BGI$, close_ICF$",1,1,1,1,[7.84153662e-03 7.63113532e-05],85,2.7926078028747434
2022-08-24 12:00:00,2022-10-05 13:15:00,"close_BGI$, close_ICON",1,1,1,1,[0.01358145 0.00020123],42,1.379876796714579
2024-03-05 13:30:00,2024-04-16 14:45:00,"close_BGI$, close_ICON",1,1,1,1,[1.33938752e-02 9.00873741e-05],42,1.379876796714579
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_ICON",1,2,1,2,[0.01075582 0.00700153],39,1.2813141683778233
2022-07-14 10:30:00,2022-10-05 13:15:00,"close_BGI$, close_IFIX",1,1,1,1,[9.39937537e-03 4.66639048e-05],83,2.726899383983573
2022-10-05 13:30:00,2022-11-18 14:45:00,"close_BGI$, close_IFIX",1,1,1,1,[2.21994535e-02 5.05247648e-06],44,1.4455852156057496
2023-03-27 10:30:00,2024-09-30 11:45:00,"close_BGI$, close_IFIX",1,1,1,1,[1.72353527e-03 5.65334359e-05],553,18.168377823408623
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_IFIX",1,1,1,1,[0.02036981 0.00168719],39,1.2813141683778233
2022-08-24 12:00:00,2022-10-05 13:15:00,"close_BGI$, close_IND$",0,0,1,1,[0.01085711 0.00017482],42,1.379876796714579
2024-03-05 13:30:00,2024-04-16 14:45:00,"close_BGI$, close_IND$",0,0,1,1,[1.15159843e-02 2.07928449e-05],42,1.379876796714579
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_IND$",1,1,1,1,[0.01164009 0.00191171],39,1.2813141683778233
2024-09-30 12:00:00,2024-11-08 13:15:00,"close_BGI$, close_IVVB11",1,1,1,1,[0.01310305 0.00011558],39,1.2813141683778233
2022-08-24 12:00:00,2022-10-05 13:15:00,"close_BGI$, close_price_target",1,1,1,1,[1.00000000e+00 6.55314774e-04],42,1.379876796714579
2022-10-05 13:30:00,2023-02-09 17:45:00,"close_BGI$, close_price_target",1,1,1,1,[1.00000000e+00 3.77259436e-06],127,4.172484599589322
2023-03-27 10:30:00,2023-05-10 11:45:00,"close_BGI$, close_price_target",1,1,1,1,[1.         0.00456911],44,1.4455852156057496
2023-06-21 13:30:00,2023-08-01 14:45:00,"close_BGI$, close_price_target",1,1,1,1,[1.         0.00177393],41,1.3470225872689938
2023-08-01 15:00:00,2024-03-05 13:15:00,"close_BGI$, close_price_target",1,1,1,1,[1.00000000e+00 4.35621241e-05],216,7.096509240246407
2024-04-16 15:00:00,2024-05-28 16:15:00,"close_BGI$, close_price_target",1,1,1,1,[1.         0.00101452],42,1.379876796714579
2024-07-10 09:00:00,2024-11-08 13:15:00,"close_BGI$, close_price_target",1,2,1,2,[1.         0.00736777],121,3.975359342915811
