model_code,best_trial_value,epochs,batch_size,learning_rate,dropout,num_layers,hidden_size,conv_filters,best_trial_index
CNN-GRU_LB15_LF1_behavior,0.5686274509803921,734,128,0.0001774619807265397,0.3430050355299389,2,20,64.0,17
CNN-GRU_LB30_LF1_behavior,0.6593023255813953,807,128,0.0005734244370578446,0.42065869966829567,2,118,32.0,47
CNN-GRU_LB45_LF1_behavior,0.5702087286527514,537,64,0.00013726183532756218,0.3810768540613292,3,78,32.0,11
CNN-GRU_LB60_LF1_behavior,0.5454545454545454,671,128,0.0007765224133627169,0.4305914365737421,2,73,128.0,35
CNN-GRU_LB7_LF1_behavior,0.5992135511191773,361,32,0.00010383035957847435,0.3525295272204617,2,92,64.0,13
CNN-LSTM_LB15_LF1_behavior,0.6220043572984749,776,64,0.0012185153198890138,0.38451897725554757,2,114,32.0,2
CNN-LSTM_LB30_LF1_behavior,0.636046511627907,856,64,0.0001347590582084868,0.2742901049871505,2,39,64.0,31
CNN-LSTM_LB45_LF1_behavior,0.5863377609108159,861,128,0.00016570561252055922,0.32757154903422364,2,94,128.0,35
CNN-LSTM_LB60_LF1_behavior,0.5,504,32,0.0014154245533835896,0.3301965315805486,3,80,32.0,0
CNN-LSTM_LB7_LF1_behavior,0.616152450090744,411,128,0.00013543349383571883,0.48685559276238866,2,58,64.0,42
GRU_LB15_LF1_behavior,0.6383442265795207,860,32,0.00012178427842674206,0.26278170056397454,2,16,,45
GRU_LB30_LF1_behavior,0.6011627906976744,751,64,0.00011005743158574106,0.2809361520654425,3,37,,19
GRU_LB45_LF1_behavior,0.6024667931688804,440,128,0.00031140238480476207,0.32328687099421066,2,99,,42
GRU_LB60_LF1_behavior,0.5909090909090909,796,64,0.0001922434109444826,0.34524602073902144,2,36,,3
GRU_LB7_LF1_behavior,0.6279491833030852,752,128,0.00029665858180130927,0.4318811759458379,3,33,,139
LSTM_LB15_LF1_behavior,0.6013071895424836,940,128,0.0008650289930878454,0.2304742551828841,2,120,,28
LSTM_LB30_LF1_behavior,0.6093023255813954,787,32,0.000332417576557377,0.4174434518038468,3,101,,6
LSTM_LB45_LF1_behavior,0.6318785578747628,932,128,0.00010429582613688658,0.21724780248909203,2,113,,32
LSTM_LB60_LF1_behavior,0.5,456,64,0.0006143722108379269,0.4316578916972794,3,42,,1
LSTM_LB7_LF1_behavior,0.615547489413188,554,128,0.00016229672410580958,0.4078661970790936,2,48,,154
